YYYY,@YYYY,ownerDate,cashDividendDate,price,priceBackDate,backDays,giveDate,stockDividendDate,@price,@priceBackDate,@priceBackDays,cashDividend,shareCashDividend,cashDividendTotal,stockDividend,shareStockDividend,stockDividendTotal,dividendTotal
2023,2023Q2,,,,,,,,,,,3,0,3,0,0,0,3
2023,2023Q1,,23'09/14,538,23'09/14,1,23'10/12,,,,,3,0,3,0,0,0,3
2023,2022Q4,,23'06/15,587,23'06/15,1,23'07/13,,,,,2.75,0,2.75,0,0,0,2.75
2023,2022Q3,,23'03/16,508,23'03/17,2,23'04/13,,,,,2.75,0,2.75,0,0,0,2.75
2022,2022Q2,,22'12/15,478,22'12/15,1,23'01/12,,,,,2.75,0,2.75,0,0,0,2.75
2022,2022Q1,,22'09/15,477.5,22'09/15,1,22'10/13,,,,,2.75,0,2.75,0,0,0,2.75
2022,2021Q4,,22'06/16,506,22'06/16,1,22'07/14,,,,,2.75,0,2.75,0,0,0,2.75
2022,2021Q3,,22'03/16,555,22'03/16,1,22'04/14,,,,,2.75,0,2.75,0,0,0,2.75
2021,2021Q2,,21'12/16,597,21'12/16,1,22'01/13,,,,,2.75,0,2.75,0,0,0,2.75
2021,2021Q1,,21'09/16,604,21'09/16,1,21'10/14,,,,,2.75,0,2.75,0,0,0,2.75
2021,2020Q4,,21'06/17,603,21'06/17,1,21'07/15,,,,,2.5,0,2.5,0,0,0,2.5
2021,2020Q3,,21'03/17,611,21'04/06,13,21'04/15,,,,,2.5,0,2.5,0,0,0,2.5
2020,2020Q2,,20'12/17,510,20'12/17,1,21'01/14,,,,,2.5,0,2.5,0,0,0,2.5
2020,2020Q1,,20'09/17,455.5,20'10/12,15,20'10/15,,,,,2.5,0,2.5,0,0,0,2.5
2020,2019Q4,,20'06/18,312.5,20'06/18,1,20'07/16,,,,,2.5,0,2.5,0,0,0,2.5
2020,2019Q3,,20'03/19,257.5,20'03/20,2,20'04/16,,,,,2.5,0,2.5,0,0,0,2.5
2019,2019Q2,,19'12/19,342,20'01/03,11,20'01/16,,,,,2.5,0,2.5,0,0,0,2.5
2019,2019Q1,,19'09/19,265,19'09/19,1,19'10/17,,,,,2,0,2,0,0,0,2
2019,2018全年,19'06/05,19'06/24,240.5,19'07/01,6,19'07/18,,,,,8,0,8,0,0,0,8
2018,2017全年,18'06/05,18'06/25,219.5,18'07/20,20,18'07/19,,,,,8,0,8,0,0,0,8
2017,2016全年,17'06/08,17'06/26,210,17'08/08,32,17'07/20,,,,,7,0,7,0,0,0,7
2016,2015全年,16'06/07,16'06/27,153,16'06/29,3,16'07/21,,,,,6,0,6,0,0,0,6
2015,2014全年,15'06/09,15'06/29,141.5,16'02/03,154,15'07/23,,,,,4.5,0,4.5,0,0,0,4.5
2014,2013全年,14'06/24,14'07/14,133.5,14'11/19,90,,,,,,3,0,3,0,0,0,3
2013,2012全年,13'06/11,13'07/03,107,13'07/12,8,,,,,,3,0,3,0,0,0,3
2012,2011全年,12'06/12,12'07/04,81.2,12'09/11,49,,,,,,2.999,0,2.999,0,0,0,2.999
2011,2010全年,11'06/09,11'06/29,69.5,11'07/01,3,,,,,,3,0,3,0,0,0,3
2010,2009全年,10'06/15,10'07/06,58.4,10'07/20,11,,,,,,3,0,3,0,0,0,3
2009,2008全年,09'06/10,09'07/15,52.5,09'07/23,7,,09'07/15,52.5,09'07/23,7,3,0,3,0.02,0.03,0.05,3.05
2008,2007全年,08'06/13,08'07/16,53.6,08'07/18,3,,08'07/16,53.6,08'07/18,3,3.025,0,3.025,0.02,0.03,0.05,3.075
2007,2006全年,07'05/07,07'06/08,64.7,07'06/21,8,,07'06/08,64.7,07'06/21,8,3,0,3,0.02,0.03,0.05,3.049
2006,2005全年,06'05/16,06'06/20,54.6,06'08/17,43,,06'06/20,54.6,06'08/17,43,2.499,0,2.499,0.15,0.15,0.3,2.799
2005,2004全年,05'05/10,05'06/13,52.9,05'11/21,112,,05'06/13,52.9,05'11/21,112,2,0,2,0.5,0,0.5,2.5
2004,2003全年,04'05/11,04'06/14,,04'11/18,109,,04'06/14,43.3,04'11/18,109,0.604,0,0.604,1.409,0,1.409,2.012
2003,2002全年,03'06/03,,,,,,03'07/07,57,03'07/08,2,0,0,0,0.8,0,0.8,0.8
2002,2001全年,02'05/07,,,,,,02'06/19,68.29,11'01/17,2141,0,0,0,1,0,1,1
股利  發放  年度,股利所屬  盈餘期間,股東會  日期,除息日程,除息日程,除息日程,除息日程,除息日程,除權日程,除權日程,除權日程,除權日程,股東股利 (元/股),股東股利 (元/股),股東股利 (元/股),股東股利 (元/股),股東股利 (元/股),股東股利 (元/股),股東股利 (元/股)
股利  發放  年度,股利所屬  盈餘期間,股東會  日期,除息  交易日,除息  參考  價,填息  完成日,填息  花費  日數,現金  股利  發放日,除權  交易日,除權  參考  價,填權  完成日,填權  花費  日數,現金股利,現金股利,現金股利,股票股利,股票股利,股票股利,股利  合計
股利  發放  年度,股利所屬  盈餘期間,股東會  日期,除息  交易日,除息  參考  價,填息  完成日,填息  花費  日數,現金  股利  發放日,除權  交易日,除權  參考  價,填權  完成日,填權  花費  日數,盈餘,公積,合計,盈餘,公積,合計,股利  合計
2001,2000全年,01'05/15,,,,,,01'06/26,59.5,01'12/06,112,0,0,0,4,0,4,4
2000,1999全年,00'04/14,,,,,,00'05/15,142.21,16'09/07,4062,0,0,0,2.555,0.245,2.8,2.8
1999,1998全年,99'05/11,,,,,,99'06/15,110.69,99'09/01,60,0,0,0,2.3,0,2.3,2.3
1998,1997全年,98'05/12,,,,,,98'06/15,68.71,99'03/17,203,0,0,0,4.5,0,4.5,4.5
1997,1996全年,97'05/13,,,,,,97'06/12,85.11,97'07/11,25,0,0,0,5,0,5,5
1996,1995全年,96'04/08,,,,,,96'05/04,56.89,97'05/08,292,0,0,0,8,0,8,8
1995,1994全年,95'05/12,,,,,,95'06/15,103.23,00'01/17,1282,0,0,0,8,0,8,8
1994,1993全年,94'04/21,94'06/29,,,,,94'06/29,,,,1,0,1,2.48,0,2.48,3.48
1993,1992全年,93'05/19,,,,,,93'08/02,,,,0,0,0,1.04,0,1.04,1.04
1992,1991全年,92'05/19,92'06/25,,,,,92'11/25,,,,0.1,0,0.1,0.4,0,0.4,0.5
